"lag_seconds","rows_"
"140785.920","8"
"94727.280","8"
"236769.660","8"
"305944.930","8"
"141452.920","8"
"54153.920","8"
"251543.930","8"
"325942.930","8"
"288208.930","8"
"78925.280","8"
"89457.280","8"
"72509.370","8"
"217425.660","8"
"220223.660","8"
"173144.660","8"
"152272.260","8"
"153142.260","8"
"77179.920","8"
"72060.280","8"
"257994.930","8"
"156983.660","8"
"154717.920","8"
"214912.660","8"
"141726.920","8"
"89582.280","8"
"74479.920","8"
"79667.280","8"
"123139.370","8"
"223667.660","8"
"71524.370","8"
"156757.660","8"
"120680.920","8"
"140595.920","8"
"97980.260","8"
"255196.930","8"
"230526.660","8"
"296291.930","8"
"87825.260","8"
"269931.930","8"
"166675.660","8"
"121215.370","8"
"152625.370","8"
"87582.370","8"
"261971.930","8"
"146744.920","8"
"69906.370","8"
"85136.280","8"
"95011.260","8"
"86029.260","8"
"268568.930","8"
"133096.920","8"
"174395.660","8"
"152459.920","8"
"268028.930","8"
"87201.280","8"
"216557.660","8"
"152076.260","8"
"136572.920","8"
"74932.280","8"
"128539.920","8"
"74843.260","8"
"86188.280","8"
"141122.370","8"
"180129.660","8"
"258524.930","8"
"136895.260","8"
"84095.920","8"
"308566.930","8"
"314225.930","8"
"77665.280","8"
"142992.920","8"
"113898.370","8"
"140241.260","8"
"147160.370","8"
"149030.370","8"
"148337.260","8"
"179800.660","8"
"257581.930","8"
"160454.660","8"
"86130.370","8"
"69529.260","8"
"139941.260","8"
"146145.370","8"
"235304.660","8"
"151303.920","8"
"263805.930","8"
"221003.660","8"
"154686.260","8"
"253339.930","8"
"69487.920","8"
"98753.280","8"
"137041.260","8"
"232431.660","8"
"134963.370","8"
"128918.370","8"
"268999.930","8"
"126870.920","8"
"150512.920","8"
"123206.260","8"
"144618.260","8"
"153752.920","8"
"79718.920","8"
"96484.920","8"
"154237.260","8"
"144867.920","8"
"309802.930","8"
"144269.920","8"
"126800.920","7"
"71549.370","7"
"327334.930","7"
"80966.260","7"
"80558.260","7"
"236540.660","7"
"81491.920","7"
"144145.260","7"
"126570.260","7"
"148252.370","7"
"96239.920","7"
"73930.370","7"
"122570.920","7"
"88991.920","7"
"91326.920","7"
"177543.660","7"
"139991.370","7"
"87581.370","7"
"78033.920","7"
"86976.370","7"
"84704.260","7"
"94223.280","7"
"94413.920","7"
"151855.260","7"
"169499.660","7"
"99594.920","7"
"84105.920","7"
"148069.370","7"
"257846.930","7"
"144180.370","7"
"79304.280","7"
"176056.660","7"
"80694.920","7"
"151546.920","7"
"233501.660","7"
"89136.280","7"
"72546.920","7"
"147280.370","7"
"129002.920","7"
"148169.260","7"
"80687.370","7"
"127342.260","7"
"216771.660","7"
"92772.920","7"
"234696.660","7"
"140350.260","7"
"88497.260","7"
"130275.260","7"
"135480.920","7"
"200576.660","7"
"126760.370","7"
"229907.660","7"
"88425.920","7"
"73984.280","7"
"75589.370","7"
"145886.260","7"
"139028.260","7"
"81609.260","7"
"140923.920","7"
"233087.660","7"
"79394.260","7"
"76910.260","7"
"80113.280","7"
"237178.660","7"
"79780.280","7"
"89000.260","7"
"226059.660","7"
"135362.920","7"
"153360.920","7"
"79413.370","7"
"225242.660","7"
"139716.920","7"
"81431.280","7"
"249677.930","7"
"327443.930","7"
"152120.260","7"
"129970.260","7"
"142710.920","7"
"127355.920","7"
"150127.260","7"
"147991.920","7"
"74153.260","7"
"74699.370","7"
"255949.930","7"
"241792.930","7"
"78110.280","7"
"72821.370","7"
"155379.920","7"
"87502.370","7"
"234928.660","7"
"74887.370","7"
"260081.930","7"
"73426.370","7"
"87882.260","7"
"96831.260","7"
"77797.280","7"
"48322.920","7"
"141274.920","7"
"310313.930","7"
"155764.660","7"
"236686.660","7"
"122592.260","7"
"142574.260","7"
"165104.660","7"
"210261.660","7"
"182811.660","7"
"87813.260","7"
"112334.260","7"
"154879.920","7"
"81830.920","7"
"95537.280","7"
"146359.260","7"
"152197.260","7"
